candidate_id,source_doc_title,source_doc_hash,item_type
snap-019-000,Bloomberg News,ae38c1448cb2bd47a35925ecd4e4bf6fab46de9e317e843a51c8930de52e9d90,entity_card
snap-019-001,Bloomberg News,ae38c1448cb2bd47a35925ecd4e4bf6fab46de9e317e843a51c8930de52e9d90,context_link
snap-019-002,Bloomberg News,ae38c1448cb2bd47a35925ecd4e4bf6fab46de9e317e843a51c8930de52e9d90,context_link
snap-020-000,Electric vehicle,476b12c57c4e2146bcc1c41f95f56e94c2dd80d7836c137200831e606dc130fe,entity_card
snap-020-001,Electric vehicle,476b12c57c4e2146bcc1c41f95f56e94c2dd80d7836c137200831e606dc130fe,relation_claim
snap-020-002,Electric vehicle,476b12c57c4e2146bcc1c41f95f56e94c2dd80d7836c137200831e606dc130fe,context_link
snap-021-000,Battery electric vehicle,bab060e7d67c9e1d60e7d4a310b1190ff83179c8cab1a442b956856c27e38a12,entity_card
snap-021-001,Battery electric vehicle,bab060e7d67c9e1d60e7d4a310b1190ff83179c8cab1a442b956856c27e38a12,context_link
snap-022-000,Lithium-ion battery,800872094b7e3d7c4c5e0e4bf28b264fbf5c5aadae5e03b83bac88d17ceeae9c,entity_card
snap-023-000,Gigafactory,8e6a285b31da4376a3d726e82e7d047acc3c5e2c7095906b9731a305a84c44b5,entity_card
snap-024-000,Rocket,7d5a835dc7c8ab8e3118bde4072b1d838110f8b1fa21467c1bcff508035293c8,entity_card
snap-025-000,Reusable launch vehicle,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,entity_card
snap-025-001,Reusable launch vehicle,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,context_link
snap-025-002,Reusable launch vehicle,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,context_link
snap-025-003,Reusable launch vehicle,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,context_link
snap-025-004,Reusable launch vehicle,be57ef50f1e8bbe342f41ef15aba6fd8f0b9ddb5afad424d03d2dfe47c620485,context_link
snap-026-000,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,entity_card
snap-026-001,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,context_link
snap-026-002,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,context_link
snap-026-003,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,context_link
snap-026-004,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,context_link
snap-026-005,Satellite Internet access,04cece53163c747a431cbf022935318daaab3215f62bcb11be9010ff27aa83fc,context_link
snap-027-000,Spacecraft,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,entity_card
snap-027-001,Spacecraft,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,context_link
snap-027-002,Spacecraft,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,context_link
snap-027-003,Spacecraft,74b7aa970779840c7399dffd6a3228d3b554acfdf18611f4624cc5493ef32a32,context_link
snap-028-000,Sustainable energy,83989647c115fa76be17a112181fc16b5ba44c3f32a6c2368d436dfa7b9a7371,entity_card
snap-029-000,Solar power,65691875933dde4effcfef75b7f633a5d554706279cc16c424d37e0a7dab9414,entity_card
snap-030-000,Net worth,1cecd54c03c08779e0598922d3824ca636fb7f44e7bebf4df12f8000ee648eec,entity_card
snap-031-000,Share price,0a783a1af3f47fe0f6cb9ee1af4d3c3bc312e1d53cef6ddaf8853b1285fa61be,entity_card
snap-032-000,Market capitalization,9a5f7d2ed2a0086f536398f8a148dcdcc282ba31314775b478985f3aaccb1546,entity_card
snap-032-001,Market capitalization,9a5f7d2ed2a0086f536398f8a148dcdcc282ba31314775b478985f3aaccb1546,context_link
snap-033-000,Chief executive officer,2c22e66ae11072c276ff0f851e04e69b7a11d84d272958679a258029707533a0,entity_card
snap-033-001,Chief executive officer,2c22e66ae11072c276ff0f851e04e69b7a11d84d272958679a258029707533a0,context_link
snap-034-000,Subsidiary,52276221cc8b3b75377c7bf1181ab2693dd6046ab323142e4d1f8ee7c48939bc,entity_card
snap-035-000,Organization,832e3826d190d9feb68cb5d4000dd08eae628b3ac4f8de1688a4e78fd4a5dece,entity_card
snap-035-001,Organization,832e3826d190d9feb68cb5d4000dd08eae628b3ac4f8de1688a4e78fd4a5dece,definition_claim
snap-036-000,Leadership,6bd74bc5c917ca193c1724e87339f61e220d7e0db4ae0634e6a432a48b2644b2,entity_card
snap-036-001,Leadership,6bd74bc5c917ca193c1724e87339f61e220d7e0db4ae0634e6a432a48b2644b2,relation_claim
snap-037-000,Business magnate,03c6a4a97581b2eb3034b162e62005a446aa8ff6b155cb45551d0e33fdea6e07,entity_card
snap-038-000,Entrepreneurship,12302c52b3f66bf5d1082c4fbddd7c3a4e93559db61175883324efc8b11b51e0,entity_card
snap-039-000,Automotive industry,6d24a9be4d87b30a4e25e5298eea27267d5adbfa189662a7ef9090f23e11d3c7,entity_card
snap-040-000,Aerospace manufacturer,4d2faea7623fa4c75c4f5d68c87ff37140e26de9ede2ce7e97ed59b9de7841fd,entity_card
snap-041-000,Artificial intelligence,b7bf32a1cad542ae40c054010eb526afb420053dc8618aedcff25192a1a4d5e8,entity_card
snap-042-000,Brain–computer interface,312fcc55f465e71be0bb4d4f11b9663b9cc55a174de401f1ac21a55bd79ee60f,entity_card
snap-043-000,Hyperloop,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,entity_card
snap-043-001,Hyperloop,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,context_link
snap-043-002,Hyperloop,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,context_link
