title,normalized_title,source_url,retrieved_at,revision_id,raw_text_sha256,normalized_doc_path
Larry Ellison,Larry Ellison,https://en.wikipedia.org/wiki/Larry_Ellison,2026-06-15T07:15:36Z,1358877471,f37e3b7cae893b7601c7d83c02014b3660d5950ff6f17f375f9b1ec1dbecab11,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Larry_Ellison.md
Oracle Corporation,Oracle Corporation,https://en.wikipedia.org/wiki/Oracle_Corporation,2026-06-15T07:15:37Z,1359015411,21d8ef8f890db80c6f52de0149f5c7b92113c4ae79e6e66085c1a5d97ded2e5e,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Oracle_Corporation.md
Jeff Bezos,Jeff Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,2026-06-15T07:15:38Z,1359005476,6879f50f1b2ee20f10e9e5d5dc2c853624a1f4b1f20649b220520dffe39749a6,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Jeff_Bezos.md
Blue Origin,Blue Origin,https://en.wikipedia.org/wiki/Blue_Origin,2026-06-15T07:15:41Z,1357971657,38e38de47d9080bf6c7a4f83a419e25c80424b098a15a2a0bc049fbde1b9fd33,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Blue_Origin.md
Bernard Arnault,Bernard Arnault,https://en.wikipedia.org/wiki/Bernard_Arnault,2026-06-15T07:15:42Z,1356534539,585cc1df347c10f05bf16d1f274e1e05807577e4112d58e397a9af29273cdfdd,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bernard_Arnault.md
LVMH,LVMH,https://en.wikipedia.org/wiki/LVMH,2026-06-15T07:15:43Z,1359170740,439822b29406d40d1015734cf01478cbb398eafacc7bc694539fd57b07875656,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/LVMH.md
Michael Bloomberg,Michael Bloomberg,https://en.wikipedia.org/wiki/Michael_Bloomberg,2026-06-15T07:15:45Z,1359308572,5d05bb067a7c06f593dae45bf10e0b0239e44c9ec82358e617c9f1535f5a007b,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Michael_Bloomberg.md
Bloomberg L.P.,Bloomberg L.P.,https://en.wikipedia.org/wiki/Bloomberg_L.P.,2026-06-15T07:15:46Z,1354472981,f900dae8ba9d94db71701590f6e71ff9e242fefca2bf921ae4932caf6a406f54,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bloomberg_L.P..md
Forbes,Forbes,https://en.wikipedia.org/wiki/Forbes,2026-06-15T07:15:47Z,1358924667,ccb3cdbf3d496afe7d3bf59bc7ff54bd930518101f0cba6e90f02bd92e9a3bf4,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Forbes.md
Bloomberg News,Bloomberg News,https://en.wikipedia.org/wiki/Bloomberg_News,2026-06-15T07:15:48Z,1358887675,ae38c1448cb2bd47a35925ecd4e4bf6fab46de9e317e843a51c8930de52e9d90,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Bloomberg_News.md
