id,total_latency_ms,ttft_ms
obqa-f984cbbcf6d231c3-multi_evidence_explicit-a5dda485,498.761250,
obqa-938224028e0a9499-paraphrase-8a49f3c1,377.085959,
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,447.631042,
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,917.887750,
obqa-702460d9950c4822-multi_evidence_explicit-f4a886bf,874.515084,
obqa-a6a1f16d0258e0cb-paraphrase-d41da84f,395.916209,
obqa-feaeb7b3dda08374-paraphrase-6be3458d,552.149584,
obqa-10dd4e36738f119c-paraphrase-f675f3af,494.727375,
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,655.625750,
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,680.024834,
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,731.434541,
obqa-644dc30c4b3c543d-paraphrase-d972b24f,637.331167,
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,667.182167,
obqa-02c190c26412b8c1-paraphrase-33a6c87b,351.786041,
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,627.358083,
obqa-8c3e0d78bbe231a2-multi_evidence_explicit-d7d5f7a6,521.332375,
obqa-e741fc002e3534cb-paraphrase-8d3337ad,322.283500,
obqa-e8a5858c1fa0e6f9-multi_evidence_explicit-6606c6a6,594.392667,
obqa-915462fb9210c2ac-paraphrase-4825fb90,345.444167,
obqa-a690b8cf8c600c43-paraphrase-b655f620,430.842625,
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,905.150917,
obqa-feaeb7b3dda08374-paraphrase-6be3458d,423.439125,
obqa-15cece819972cd21-paraphrase-ce8faf6b,354.911042,
obqa-c9a94fef9fb67b45-multi_evidence_implicit-3e23fe12,597.779667,
obqa-736422969f88d33b-multi_evidence_implicit-021a12c8,977.902875,
obqa-dbb9ed8a8475a9f8-paraphrase-6379597d,396.044000,
obqa-7279fa825fdf6157-multi_evidence_implicit-c007d86b,621.508458,
obqa-ae0297dfe9acc0a5-multi_evidence_implicit-f698388f,559.359334,
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,366.277709,
obqa-a690b8cf8c600c43-paraphrase-b655f620,454.523583,
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,352.571667,
obqa-99bbb1b03bbbc56d-multi_evidence_explicit-85408c63,599.476208,
obqa-02c190c26412b8c1-paraphrase-33a6c87b,471.695959,
obqa-1bcd7379e4e4eea5-paraphrase-5682507f,528.013667,
obqa-4d4220f2c3e235d6-multi_evidence_implicit-db829f09,923.962000,
obqa-0a494ce4d482957d-multi_evidence_explicit-8f2ecd69,659.348958,
obqa-110b3019ee1271d4-paraphrase-df4d70d6,503.397000,
obqa-644dc30c4b3c543d-paraphrase-d972b24f,650.776250,
obqa-e5d71a2d2b0d7532-paraphrase-3482774b,411.948125,
obqa-14d5a02db979bd7a-multi_evidence_implicit-552882ad,818.898625,
obqa-0f34e6b6464698ed-multi_evidence_explicit-e739c33d,646.166666,
obqa-a1a9e43a456910ea-multi_evidence_explicit-3054d6d8,835.198667,
