id,total_latency_ms,ttft_ms
obqa-71ae3d3576adde79-negative-2e680385,663.444875,
obqa-6fd6e7e0292e493b-direct-efd5dae3,800.619042,
obqa-2c95892489e06676-negative-30d1122d,536.563167,
obqa-b617504bfcd0271d-direct-5a8dd879,649.610583,
obqa-71ae3d3576adde79-direct-09d04938,1464.075000,
obqa-86ec9759857e7caa-negative-76775ff8,665.159375,
obqa-4ea3b05de392cb9b-direct-8bbb34e9,1485.733708,
obqa-826080d84c42d0c5-multi_evidence-7cbeda08,6847.618666,
obqa-968a321ff3dd19ae-direct-845ad942,1214.166458,
obqa-1fe5b6db7948acb2-paraphrase-1034015e,949.784000,
obqa-6fd6e7e0292e493b-negative-25baa1e0,833.156084,
obqa-9c28ef50f15e917b-paraphrase-e5d86c6e,802.375000,
obqa-48d9bd7b07e92111-paraphrase-afaf6c17,697.149916,
obqa-826080d84c42d0c5-negative-9fd4b83e,448.054417,
obqa-788b80eb881e5190-direct-d394c014,1070.729709,
obqa-d3cc94c8e3606a6a-paraphrase-a2185500,485.002958,
obqa-8b789de1cbb8804c-paraphrase-c7e6ed97,993.234625,
obqa-d00e12bf41616fda-multi_evidence-876dc660,1569.959292,
obqa-8c75be264d4fe7af-multi_evidence-0c8af2c3,6748.100917,
obqa-826080d84c42d0c5-multi_evidence-7757329a,6697.219958,
obqa-416d6118966fb2b0-direct-e89fcdfc,598.304291,
obqa-b4616d3bd5a23d3f-direct-f481c292,2030.461125,
obqa-5d352f5c6f70d12c-direct-f6972cc4,935.484458,
obqa-8c75be264d4fe7af-multi_evidence-0c8af2c3,4150.942834,
obqa-b0d3648727c18df1-negative-295b9c42,397.851959,
obqa-b8a0b43c5a22ac40-multi_evidence-88e3612d,830.950791,
obqa-e2a9b279f09c7ffe-paraphrase-33d239eb,294.523250,
obqa-34a29a3ed563f042-direct-9a8fc262,558.961292,
obqa-b0d3648727c18df1-negative-295b9c42,325.913708,
obqa-d00e12bf41616fda-multi_evidence-876dc660,662.081625,
obqa-750c52ac5166c08c-paraphrase-1b331edf,451.469000,
obqa-e176402f44c70d2f-direct-3fcb2417,416.302084,
obqa-6a5947508a6806c8-direct-9797910d,479.471125,
obqa-826080d84c42d0c5-direct-02aebb51,393.223042,
obqa-8544b10060a964b9-direct-95399150,451.220292,
obqa-6f1e061c186e9978-negative-26b33474,258.348709,
obqa-29bb8e81107ecb3d-negative-56292334,736.142167,
obqa-86ec9759857e7caa-direct-297ae0eb,303.896208,
obqa-ea3e00e31ea5ed99-direct-28893b0a,297.076875,
obqa-6e712a2341bd92e7-paraphrase-ba7a5f99,479.120417,
obqa-7f856fce168d3a4a-direct-2b4b358e,302.375000,
obqa-2cf217ea0a1833f7-direct-54badc14,901.597125,
obqa-3f0c78112f15f48c-direct-dd8982e6,790.993833,
obqa-037486d464937544-multi_evidence-c81defcb,1135.081541,
obqa-037486d464937544-multi_evidence-c81defcb,1243.844125,
obqa-a6f27b9d9cb19379-paraphrase-c4932ace,868.956542,
obqa-4ea3b05de392cb9b-direct-8bbb34e9,2047.920750,
obqa-73a6e7fb65108485-direct-e758c4bc,663.981458,
obqa-92a2aa8495c0a40e-paraphrase-92587fb1,1551.738750,
obqa-8c75be264d4fe7af-direct-f2ee221a,1098.934500,
obqa-9ac08cae82653aea-direct-78d4ad26,900.715625,
obqa-ab941d7fc310d3fc-multi_evidence-568db3d1,3745.898958,
obqa-ad46544e57686c6b-negative-3156616a,718.893042,
obqa-1fe5b6db7948acb2-paraphrase-1034015e,933.498709,
obqa-dbd9b8ad34b39e8c-direct-1644ed6a,780.120125,
obqa-29bb8e81107ecb3d-negative-56292334,1586.708333,
obqa-2acc5a0a2834031d-direct-0f5e9240,888.659792,
obqa-d00e12bf41616fda-multi_evidence-876dc660,1354.072375,
obqa-9ac08cae82653aea-direct-78d4ad26,771.027083,
obqa-2acc5a0a2834031d-direct-0f5e9240,931.652417,
obqa-a8418b28f96ecf6e-negative-ec1ec7c3,1400.680459,
obqa-ab941d7fc310d3fc-multi_evidence-da144927,1188.511709,
obqa-a71c5521e395abcf-multi_evidence-9fe5e8ed,2793.233334,
obqa-ab941d7fc310d3fc-multi_evidence-1def7c1a,1113.259292,
obqa-2c6bea15f5dffb05-negative-03529429,582.614041,
obqa-301905c3e0fbe2d5-direct-3862ef03,750.011417,
obqa-2eb6cb5c16ee452c-direct-bed451db,913.871834,
obqa-d02e2a29a4c5e9e4-direct-28390661,868.192584,
obqa-2b614fba81bed15e-negative-d3256330,899.747625,
obqa-cd7dba3d5ae0114d-direct-b2920c6b,826.369834,
obqa-ea3e00e31ea5ed99-multi_evidence-e80f90bb,1184.150125,
obqa-1b73fa9020ef49ea-negative-3d703c28,2319.078667,
obqa-d02e2a29a4c5e9e4-multi_evidence-03d54ca4,1085.530875,
obqa-3edcdd67e6240b32-paraphrase-e415da8c,970.340458,
obqa-a13238548099e987-negative-6a3aeb38,811.869041,
obqa-c2926ee062959d0a-paraphrase-9fa37661,2333.848000,
obqa-2bab9f259fd15e15-multi_evidence-b975271c,1237.699375,
obqa-640100d1d41af60f-paraphrase-71179b7a,785.260834,
