title,normalized_title,pageid,revision_id,source_url,raw_snapshot_path,normalized_doc_path,retrieved_at,raw_text_sha256,fetch_status,ready_for_self_ingestion,requires_quarantine,safe_for_general_runtime
Business magnate,Business magnate,416486,1358438703,https://en.wikipedia.org/wiki/Business_magnate,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Business_magnate.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Business_magnate.md,2026-06-15T07:16:13Z,03c6a4a97581b2eb3034b162e62005a446aa8ff6b155cb45551d0e33fdea6e07,success,True,True,False
Entrepreneurship,Entrepreneurship,18950003,1359289289,https://en.wikipedia.org/wiki/Entrepreneurship,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Entrepreneurship.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Entrepreneurship.md,2026-06-15T07:16:14Z,12302c52b3f66bf5d1082c4fbddd7c3a4e93559db61175883324efc8b11b51e0,success,True,True,False
Automotive industry,Automotive industry,163778,1355636928,https://en.wikipedia.org/wiki/Automotive_industry,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Automotive_industry.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Automotive_industry.md,2026-06-15T07:16:15Z,6d24a9be4d87b30a4e25e5298eea27267d5adbfa189662a7ef9090f23e11d3c7,success,True,True,False
Aerospace manufacturer,Aerospace manufacturer,79610,1342299878,https://en.wikipedia.org/wiki/Aerospace_manufacturer,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Aerospace_manufacturer.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Aerospace_manufacturer.md,2026-06-15T07:16:16Z,4d2faea7623fa4c75c4f5d68c87ff37140e26de9ede2ce7e97ed59b9de7841fd,success,True,True,False
Artificial intelligence,Artificial intelligence,1164,1359412274,https://en.wikipedia.org/wiki/Artificial_intelligence,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Artificial_intelligence.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Artificial_intelligence.md,2026-06-15T07:16:18Z,b7bf32a1cad542ae40c054010eb526afb420053dc8618aedcff25192a1a4d5e8,success,True,True,False
Brain-computer interface,Brain–computer interface,623686,1357652468,https://en.wikipedia.org/wiki/Brain%E2%80%93computer_interface,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Brain%E2%80%93computer_interface.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Brain%E2%80%93computer_interface.md,2026-06-15T07:16:19Z,312fcc55f465e71be0bb4d4f11b9663b9cc55a174de401f1ac21a55bd79ee60f,success,True,True,False
Hyperloop,Hyperloop,36971117,1359285559,https://en.wikipedia.org/wiki/Hyperloop,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Hyperloop.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Hyperloop.md,2026-06-15T07:16:20Z,66128c6196c8cb54c43bf5e223d9a446cf5b8c9f14f09f1b25da6ea166571780,success,True,True,False
Social media,Social media,5897742,1357967049,https://en.wikipedia.org/wiki/Social_media,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Social_media.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Social_media.md,2026-06-15T07:16:21Z,4518908c2475208c363f76099cb47cfcc8530b1fa9d5e0ffb97d65c12a12c040,success,True,True,False
X Corp.,X Corp.,73520201,1359349560,https://en.wikipedia.org/wiki/X_Corp.,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/X_Corp..json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/X_Corp..md,2026-06-15T07:16:23Z,1c50c8f702b5bb729d87553e3c2cf694194449fa34c83932e527053f03b59472,success,True,True,False
Twitter,X (social network),9988187,1358003168,https://en.wikipedia.org/wiki/X_(social_network),/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/X_(social_network).json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/X_(social_network).md,2026-06-15T07:16:24Z,ac06a47c84e03065765f6dd2543c896716d07a5f64db5882f422d2ff214dd905,success,True,True,False
PayPal,PayPal,195809,1357743556,https://en.wikipedia.org/wiki/PayPal,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/PayPal.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/PayPal.md,2026-06-15T07:16:25Z,c48f2f4c52df79f78e9031e99eb501883790ee0fb1066c8453d7ea388ef52282,success,True,True,False
Zip2,Zip2,48778030,1334117916,https://en.wikipedia.org/wiki/Zip2,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Zip2.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Zip2.md,2026-06-15T07:16:26Z,70cf7360b286b07359c1a353567adde249c80b05c31058c3f312f3975582a102,success,True,True,False
X.com,X.com,74511519,1356113444,https://en.wikipedia.org/wiki/X.com,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/X.com.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/X.com.md,2026-06-15T07:16:27Z,91ec5b6d37ad2a6d8ff02215376e4772541e1ba536bb12fcb120aa6f3b10c6cb,success,False,True,False
Space tourism,Space tourism,67896,1359304024,https://en.wikipedia.org/wiki/Space_tourism,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Space_tourism.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Space_tourism.md,2026-06-15T07:16:29Z,085d5f260cfb191d396f01910c4c48c60a5abd954de66f451c1f89a3e03ea716,success,True,True,False
Satellite constellation,Satellite constellation,53351,1352879716,https://en.wikipedia.org/wiki/Satellite_constellation,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Satellite_constellation.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Satellite_constellation.md,2026-06-15T07:16:30Z,cdccec4f85fe0d1bccdffc9bdc898b3025885c4a2093a26fac551d3c5284fb53,success,True,True,False
Internet service provider,Internet service provider,100245,1357317919,https://en.wikipedia.org/wiki/Internet_service_provider,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Internet_service_provider.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Internet_service_provider.md,2026-06-15T07:16:31Z,b4d5712aaa6e7e493a7b60686d163280e44fe4504be90053655c92212df1c43c,success,True,True,False
Electric battery,Electric battery,19174720,1354951927,https://en.wikipedia.org/wiki/Electric_battery,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/raw_snapshots/Electric_battery.json,/Users/arseniyabramidze/mini-worldgrad/worldpgt/experiments/wiki_snapshots_v1/normalized_docs/Electric_battery.md,2026-06-15T07:16:32Z,322f2472f68a20e8f9ca6de1ae2ae79cb7ee1df3356cd85384015bc6700e7fd8,success,True,True,False
