source_page,ingestion_candidate_count,relation_candidate_count,safe_delta_count,weak_context_count,entity_count,answerable_before_precision_count,precision_accepted_count,precision_rejected_count,precision_quarantined_count,property_candidate_count,final_fact_count
March,8,0,9,7,1,2,2,0,0,0,1
Mark Carney,8,0,8,6,1,1,1,0,0,0,0
Max Hodak,8,0,9,7,1,1,1,0,0,0,0
Merrill (company),8,0,8,7,1,1,1,0,0,0,0
Michael Liebreich,8,0,10,7,1,3,2,1,0,0,1
Mitsubishi Heavy Industries,8,0,8,7,1,1,1,0,0,0,0
Oracle Cloud,8,0,8,7,1,1,1,0,0,0,0
PSA Group,8,0,8,7,1,1,1,0,0,0,0
"Palo Alto, California",8,0,8,7,1,1,1,0,0,0,0
Pecora Commission,8,0,9,7,1,2,2,0,0,0,1
Premchand Roychand,8,0,8,7,1,1,1,0,0,0,0
Rocket,8,0,7,7,0,1,0,1,0,0,0
Rocket engine,8,1,9,7,1,2,1,1,0,0,0
Royal Air Force,8,0,8,7,1,1,1,0,0,0,0
SHA-2,8,0,8,7,1,1,1,0,0,0,0
SM-65 Atlas,8,0,8,7,1,1,1,0,0,0,0
Salomon Brothers,8,0,9,7,1,2,1,1,0,0,0
Satellite,8,0,8,7,1,1,1,0,0,0,0
Saturn IB,8,0,16,7,1,7,5,2,0,0,4
Securities Act of 1933,8,0,8,7,1,1,1,0,0,0,0
Smith Electric Vehicles,8,0,10,7,1,2,2,0,0,0,1
Solid-propellant rocket,8,0,8,7,1,1,1,0,0,0,0
Solid rocket booster,8,0,8,7,1,1,1,0,0,0,0
Spaceflight,8,0,9,7,1,2,2,0,0,0,1
Tesla Cyberquad,8,0,8,7,1,1,1,0,0,0,0
Tesla Supercharger,8,1,10,7,1,1,1,0,0,0,0
Tom Ognibene,8,0,8,7,1,1,1,0,0,0,0
Alessandro Volta,7,0,7,6,1,1,1,0,0,0,0
Andreas Kaplan,7,0,7,6,1,1,1,0,0,0,0
Blade Runner,7,0,7,6,1,1,1,0,0,0,0
Bloomberg Government,7,0,9,6,1,3,3,0,0,0,2
Bloomberg Markets,7,0,8,6,1,2,2,0,0,0,1
Blue Origin NS-19,7,1,9,6,1,3,2,1,0,0,1
Bombardier Aviation,7,0,7,6,1,1,1,0,0,0,0
Carl Sagan,7,0,7,6,1,1,1,0,0,0,0
Carlos Slim,7,0,7,6,1,1,1,0,0,0,0
Company,7,0,7,6,1,1,1,0,0,0,0
Corporation,7,0,7,6,1,1,1,0,0,0,0
D. E. Shaw & Co.,7,0,7,6,1,1,1,0,0,0,0
Dalal Street,7,0,7,5,1,2,1,1,0,0,0
Dior,7,0,7,6,1,1,1,0,0,0,0
Dow Jones Industrial Average,7,0,7,6,1,1,1,0,0,0,0
Early modern period,7,0,7,6,1,1,1,0,0,0,0
Elon Musk,7,0,6,6,0,0,0,0,0,0,0
Euronext Amsterdam,7,0,7,6,1,1,1,0,0,0,0
Great Depression,7,0,8,6,1,2,2,0,0,0,1
Henrik Fisker,7,0,9,6,1,3,2,1,0,0,1
Henry Racamier,7,0,7,6,1,1,1,0,0,0,0
Industrial Revolution,7,0,7,6,1,1,1,0,0,0,0
International Space Station,7,0,6,6,0,0,0,0,0,0,0
Internet,7,1,9,6,1,2,2,0,0,0,1
January,7,0,8,6,1,2,2,0,0,0,1
John Law's Company,7,0,7,6,1,1,1,0,0,0,0
